provider,region,instance,cost
aws,US East (N. Virginia),i3.metal,4.992
aws,US East (N. Virginia),i3en.large,0.226
aws,US East (N. Virginia),i3en.xlarge,0.452
aws,US East (N. Virginia),i3en.2xlarge,0.904
aws,US East (N. Virginia),i3en.3xlarge,1.356
aws,US East (N. Virginia),i3en.6xlarge,2.712
aws,US East (N. Virginia),i3en.12xlarge,5.424
aws,US East (N. Virginia),i3en.24xlarge,10.848
aws,US East (N. Virginia),i3en.metal,10.848
aws,US East (N. Virginia),h1.2xlarge,0.468
aws,US East (N. Virginia),h1.4xlarge,0.936
aws,US East (N. Virginia),h1.8xlarge,1.872
aws,US East (N. Virginia),h1.16xlarge,3.744
aws,US East (N. Virginia),d2.xlarge,0.69
aws,US East (N. Virginia),d2.2xlarge,1.38
aws,US East (N. Virginia),d2.4xlarge,2.76
aws,US East (N. Virginia),d2.8xlarge,5.52
aws,US West (Los Angeles),t3.nano,0.0062
aws,US West (Los Angeles),t3.micro,0.0125
aws,US West (Los Angeles),t3.small,0.025
aws,US West (Los Angeles),t3.medium,0.0499
aws,US West (Los Angeles),t3.large,0.0998
aws,US West (Los Angeles),t3.xlarge,0.1997
aws,US West (Los Angeles),t3.2xlarge,0.3994
aws,US West (Los Angeles),m5.large,0.115
aws,US West (Los Angeles),m5.xlarge,0.23
aws,US West (Los Angeles),m5.2xlarge,0.461
aws,US West (Los Angeles),m5.4xlarge,0.922
aws,US West (Los Angeles),m5.8xlarge,1.843
aws,US West (Los Angeles),m5.12xlarge,2.765
aws,US West (Los Angeles),m5.16xlarge,3.686
aws,US West (Los Angeles),m5.24xlarge,5.53
aws,US West (Los Angeles),m5.metal,5.53
aws,US West (Los Angeles),c5.large,0.102
aws,US West (Los Angeles),c5.xlarge,0.204
aws,US West (Los Angeles),c5.2xlarge,0.408
aws,US West (Los Angeles),c5.4xlarge,0.816
aws,US West (Los Angeles),c5.9xlarge,1.836
aws,US West (Los Angeles),c5.12xlarge,2.448
aws,US West (Los Angeles),c5.18xlarge,3.672
aws,US West (Los Angeles),c5.24xlarge,4.896
aws,US West (Los Angeles),c5.metal,4.896
aws,US West (Los Angeles),g4dn.xlarge,0.631
aws,US West (Los Angeles),g4dn.2xlarge,0.902
aws,US West (Los Angeles),g4dn.4xlarge,1.445
aws,US West (Los Angeles),g4dn.8xlarge,2.611
aws,US West (Los Angeles),g4dn.12xlarge,4.694
aws,US West (Los Angeles),g4dn.16xlarge,5.222
aws,US West (Los Angeles),r5.large,0.151
aws,US West (Los Angeles),r5.xlarge,0.302
aws,US West (Los Angeles),r5.2xlarge,0.605
aws,US West (Los Angeles),r5.4xlarge,1.21
aws,US West (Los Angeles),r5.8xlarge,2.419
aws,US West (Los Angeles),r5.12xlarge,3.629
aws,US West (Los Angeles),r5.16xlarge,4.838
aws,US West (Los Angeles),r5.24xlarge,7.258
aws,US West (Los Angeles),r5.metal,7.258
aws,US West (Los Angeles),r5d.large,0.173
aws,US West (Los Angeles),r5d.xlarge,0.346
aws,US West (Los Angeles),r5d.2xlarge,0.691
aws,US West (Los Angeles),r5d.4xlarge,1.382
aws,US West (Los Angeles),r5d.8xlarge,2.765
aws,US West (Los Angeles),r5d.12xlarge,4.147
aws,US West (Los Angeles),r5d.16xlarge,5.53
aws,US West (Los Angeles),r5d.24xlarge,8.294
aws,US West (Los Angeles),r5d.metal,8.294
aws,US West (Los Angeles),i3en.large,0.271
aws,US West (Los Angeles),i3en.xlarge,0.542
aws,US West (Los Angeles),i3en.2xlarge,1.085
aws,US West (Los Angeles),i3en.3xlarge,1.627
aws,US West (Los Angeles),i3en.6xlarge,3.254
aws,US West (Los Angeles),i3en.12xlarge,6.509
aws,US West (Los Angeles),i3en.24xlarge,13.018
aws,US West (Los Angeles),i3en.metal,13.018
aws,US West (N. California),t3.nano,0.0062
aws,US West (N. California),t3.micro,0.0124
aws,US West (N. California),t3.small,0.0248
aws,US West (N. California),t3.medium,0.0496
aws,US West (N. California),t3.large,0.0992
aws,US West (N. California),t3.xlarge,0.1984
aws,US West (N. California),t3.2xlarge,0.3968
aws,US West (N. California),t3a.nano,0.0056
aws,US West (N. California),t3a.micro,0.0112
aws,US West (N. California),t3a.small,0.0223
aws,US West (N. California),t3a.medium,0.0446
aws,US West (N. California),t3a.large,0.0893
aws,US West (N. California),t3a.xlarge,0.1786
aws,US West (N. California),t3a.2xlarge,0.3571
aws,US West (N. California),t2.nano,0.0069
aws,US West (N. California),t2.micro,0.0138
aws,US West (N. California),t2.small,0.0276
aws,US West (N. California),t2.medium,0.0552
aws,US West (N. California),t2.large,0.1104
aws,US West (N. California),t2.xlarge,0.2208
aws,US West (N. California),t2.2xlarge,0.4416
aws,US West (N. California),m5.large,0.112
aws,US West (N. California),m5.xlarge,0.224
aws,US West (N. California),m5.2xlarge,0.448
aws,US West (N. California),m5.4xlarge,0.896
aws,US West (N. California),m5.8xlarge,1.792
aws,US West (N. California),m5.12xlarge,2.688
aws,US West (N. California),m5.16xlarge,3.584
aws,US West (N. California),m5.24xlarge,5.376
aws,US West (N. California),m5.metal,5.376
aws,US West (N. California),m5a.large,0.101
aws,US West (N. California),m5a.xlarge,0.202
aws,US West (N. California),m5a.2xlarge,0.404
aws,US West (N. California),m5a.4xlarge,0.808
aws,US West (N. California),m5a.8xlarge,1.616
aws,US West (N. California),m5a.12xlarge,2.424
aws,US West (N. California),m5a.16xlarge,3.232
aws,US West (N. California),m5a.24xlarge,4.848
aws,US West (N. California),m5ad.large,0.122
aws,US West (N. California),m5ad.xlarge,0.244
aws,US West (N. California),m5ad.2xlarge,0.488
aws,US West (N. California),m5ad.4xlarge,0.976
aws,US West (N. California),m5ad.8xlarge,1.952
aws,US West (N. California),m5ad.12xlarge,2.928
aws,US West (N. California),m5ad.16xlarge,3.904
aws,US West (N. California),m5ad.24xlarge,5.856
aws,US West (N. California),m5d.large,0.133
aws,US West (N. California),m5d.xlarge,0.266
aws,US West (N. California),m5d.2xlarge,0.532
aws,US West (N. California),m5d.4xlarge,1.064
aws,US West (N. California),m5d.8xlarge,2.128
aws,US West (N. California),m5d.12xlarge,3.192
