provider,region,instance
aws,Asia Pacific (Seoul),m5.xlarge
aws,Asia Pacific (Seoul),m5.2xlarge
aws,Asia Pacific (Seoul),m5.4xlarge
aws,Asia Pacific (Seoul),m5.12xlarge
aws,Asia Pacific (Seoul),m5.24xlarge
aws,Asia Pacific (Seoul),p2.xlarge
aws,Asia Pacific (Seoul),p2.8xlarge
aws,Asia Pacific (Seoul),p2.16xlarge
aws,Asia Pacific (Seoul),p3.2xlarge
aws,Asia Pacific (Seoul),p3.8xlarge
aws,Asia Pacific (Seoul),p3.16xlarge
aws,Asia Pacific (Seoul),g3.4xlarge
aws,Asia Pacific (Seoul),g3.8xlarge
aws,Asia Pacific (Seoul),g3.16xlarge
aws,US East (N. Virginia),t2.medium
aws,US East (N. Virginia),t2.large
aws,US East (N. Virginia),t2.xlarge
aws,US East (N. Virginia),t2.2xlarge
aws,US East (N. Virginia),c4.large
aws,US East (N. Virginia),c4.xlarge
aws,US East (N. Virginia),c4.2xlarge
aws,US East (N. Virginia),c4.4xlarge
aws,US East (N. Virginia),c4.8xlarge
aws,US East (N. Virginia),c5.large
aws,US East (N. Virginia),c5.xlarge
aws,US East (N. Virginia),c5.2xlarge
aws,US East (N. Virginia),c5.4xlarge
aws,US East (N. Virginia),c5.9xlarge
aws,US East (N. Virginia),r4.large
aws,US East (N. Virginia),r4.xlarge
aws,US East (N. Virginia),r4.2xlarge
aws,US East (N. Virginia),r4.4xlarge
aws,US East (N. Virginia),r4.8xlarge
aws,US East (N. Virginia),r4.16xlarge
aws,US East (N. Virginia),m3.large
aws,US East (N. Virginia),m3.xlarge
aws,US East (N. Virginia),m3.2xlarge
aws,US East (N. Virginia),m4.large
aws,US East (N. Virginia),m4.xlarge
aws,US East (N. Virginia),m4.2xlarge
aws,US East (N. Virginia),m4.4xlarge
aws,US East (N. Virginia),m4.10xlarge
aws,US East (N. Virginia),m4.16xlarge
aws,US East (N. Virginia),m5.large
aws,US East (N. Virginia),m5.xlarge
aws,US East (N. Virginia),m5.2xlarge
aws,US East (N. Virginia),m5.4xlarge
aws,US East (N. Virginia),m5.12xlarge
aws,US East (N. Virginia),m5.24xlarge
aws,US East (N. Virginia),p2.xlarge
aws,US East (N. Virginia),p2.8xlarge
aws,US East (N. Virginia),p2.16xlarge
aws,US East (N. Virginia),p3.2xlarge
aws,US East (N. Virginia),p3.8xlarge
aws,US East (N. Virginia),p3.16xlarge
aws,US East (N. Virginia),g3.4xlarge
aws,US East (N. Virginia),g3.8xlarge
aws,US East (N. Virginia),g3.16xlarge
azure,us-west,sles-enterprise-basic-a2-standard
azure,us-west,sles-enterprise-basic-a3-standard
azure,us-west,sles-enterprise-basic-a4-standard
azure,us-west,sles-enterprise-basic-a5-standard
azure,us-west,sles-enterprise-basic-a6-standard
